Ano,Mes,Maxima_Energia_Armazenada,Energia_Armazenada_Verificada,Porcentagem_Armazenamento_Total,Subsistema,Consumo_Mensal
2014,12,51809.0,7676.22580645162,14.816128977096774,Nordeste,843211.2375
2014,12,15041.0,4334.5806451612907,28.819354949032263,Norte,324296.6402777778
2014,12,203343.0,34970.709677419429,17.198387084838735,Sudeste / Centro-Oeste,2678473.7111111111
2014,12,20100.0,10862.032258064512,54.040644860645159,Sul,881111.96666666667
2015,1,51809.0,8824.5161290322449,17.032903179354836,Nordeste,849865.775
2015,1,15041.0,5209.9354838709614,34.638709283548309,Norte,311591.80694444443
2015,1,203343.0,37535.90322580644,18.458709655161304,Sudeste / Centro-Oeste,2794250.1861111112
2015,1,20100.0,13358.870967741932,66.461935597096812,Sul,889914.50277777773
2015,2,51809.0,8421.0000000000127,16.253214188214287,Nordeste,745048.3444444444
2015,2,15041.0,5396.14285714285,35.876428195357157,Norte,267028.33888888889
2015,2,203343.0,37589.464285714239,18.486071518214331,Sudeste / Centro-Oeste,2519050.722222222
2015,2,20100.0,10556.892857142859,52.522500175000033,Sul,842084.01666666672
2015,3,51809.0,10401.967741935474,20.077741930645185,Nordeste,839284.44166666665
2015,3,15041.0,7158.419354838712,47.592903260322664,Norte,310127.18611111114
2015,3,203343.0,49093.032258064559,24.142903297741885,Sudeste / Centro-Oeste,2676603.076388889
2015,3,20100.0,9157.12903225806,45.559354842903218,Sul,881534.9875
2015,4,51809.0,13274.166666666666,25.62133337566662,Nordeste,796193.16666666663
2015,4,15041.0,11268.633333333333,74.919333140333364,Norte,293735.75
2015,4,203343.0,63963.333333333358,31.455666732999983,Sudeste / Centro-Oeste,2597965.5416666665
2015,4,20100.0,7435.06666666666,36.991000238999995,Sul,846794.54166666663
2015,5,51809.0,13751.967741935485,26.543870988709667,Nordeste,823305.87916666665
2015,5,15041.0,12203.193548387109,81.134515577741851,Norte,310256.1375
2015,5,203343.0,71455.5483870968,35.139354829032236,Sudeste / Centro-Oeste,2575503.465277778
2015,5,20100.0,6569.9677419354884,32.686774222903253,Sul,804611.02777777775
2015,6,51809.0,13237.966666666662,25.55166670566669,Nordeste,771089.375
2015,6,15041.0,12107.433333333342,80.49599965366663,Norte,298300.83333333331
2015,6,203343.0,73858.0000000001,36.322666931666689,Sudeste / Centro-Oeste,2421653.7083333335
2015,6,20100.0,9955.4666666666562,49.530999883666667,Sul,765884.75
2015,7,51809.0,12024.870967741936,23.209354892580638,Nordeste,763639.61944444443
2015,7,15041.0,11666.290322580633,77.564193480322487,Norte,325087.78611111111
2015,7,203343.0,75026.612903225672,36.896451519032247,Sudeste / Centro-Oeste,2477533.8208333333
2015,7,20100.0,16710.451612903231,83.137419176774088,Sul,777695.92361111112
2015,8,51809.0,10243.451612903233,19.771935555161306,Nordeste,776966.3902777778
2015,8,15041.0,10421.064516129049,69.284838768387019,Norte,332166.42083333334
2015,8,203343.0,73213.580645161172,36.004838759677334,Sudeste / Centro-Oeste,2558218.5111111109
2015,8,20100.0,17701.6451612903,88.069033223548445,Sul,800587.44305555557
2015,9,51809.0,8025.9666666666626,15.491666730333337,Nordeste,761593.08333333337
2015,9,15041.0,7357.9666666666708,48.9206665033333,Norte,331319.54166666669
2015,9,203343.0,67992.66666666673,33.436333083333345,Sudeste / Centro-Oeste,2478634.25
2015,9,20100.0,14661.200000000003,72.941666412333262,Sul,756659.25
2015,10,51809.0,5523.9677419354821,10.662258149032271,Nordeste,817800.5375
2015,10,15041.0,4509.3548387096762,29.981290448064534,Norte,353380.49583333335
2015,10,203343.0,60733.483870967764,29.867096747096788,Sudeste / Centro-Oeste,2693898.0625
2015,10,20100.0,17782.225806451614,88.470645043225858,Sul,791588.01388888888
2015,11,51809.0,3106.9666666666658,5.99766664566667,Nordeste,796054.83333333337
2015,11,15041.0,3195.1333333333364,21.243333371666655,Norte,331275.0
2015,11,203343.0,55745.133333333331,27.41400000299997,Sudeste / Centro-Oeste,2606093.9583333335
2015,11,20100.0,19506.333333333321,97.047333271999975,Sul,773106.75
2015,12,51809.0,2464.6451612903247,4.7577419287096809,Nordeste,842231.46527777775
2015,12,15041.0,2480.7741935483846,16.493225774193576,Norte,341131.3625
2015,12,203343.0,58376.387096774175,28.708064663548395,Sudeste / Centro-Oeste,2617828.5833333335
2015,12,20100.0,19620.580645161284,97.615483684193535,Sul,798340.76111111115
2016,1,51809.0,4184.1290322580653,8.0758063858064482,Nordeste,808495.4138888889
